uc dogrulandi: https://t3ai.baykartech.net/Jailbreak/v1  model=t3ai-v2  anahtar=OPENAI_API_KEY (.env)  [.env: C:\Users\PC_2849_YD26\dev\turkish-agentic-rl\.env]
uc: https://t3ai.baykartech.net/Jailbreak/v1   anahtar: OPENAI_API_KEY (.env)   istek araligi: 0.3sn
model=t3ai-v2  99 task prompt bekliyor

[1/99] gen-s-0000-ozetle  uslup=duz-hedef
    YAZILDI (1. denemede)  sensors.txt dosyasındaki her satırın ilk 10 karakterini ve 13-16. karakterlerini ayırıp 
[2/99] gen-s-0001-donustur  uslup=numarali-emir
    YAZILDI (1. denemede)  1) shipments.log dosyasındaki her satırı işleyerek, durum değerine göre adlandırılmış kl
[3/99] gen-s-0002-yeniden-duzenle  uslup=duz-hedef
    YAZILDI (1. denemede)  patients.csv ve appointments.csv dosyalarını kullanarak, her hastanın adına göre oluştur
[4/99] gen-s-0003-denetle  uslup=kisit-sakli
    YAZILDI (1. denemede)  entries dizini altındaki tüm dosyalarda "ERROR" içeren satırları bulun. Bu satırları yıl
[5/99] gen-s-0004-grupla-say  uslup=baglam-gomulu
    YAZILDI (1. denemede)  Lojistik biriminden gelen son raporlar, gönderi süreçlerindeki gecikmelerin belirli bölg
[6/99] gen-s-0005-onar  uslup=duz-hedef
    YAZILDI (1. denemede)  orders dizinindeki sabit genişlikli dosyalarda bulunan ve fiyatı 15.00'den büyük olan si
[7/99] gen-s-0006-toplu-yeniden-adlandir  uslup=kabul-kriteri
    YAZILDI (1. denemede)  library dizinindeki tüm alt dizinlerde bulunan .ini dosyalarını, içlerindeki title değer
[8/99] gen-s-0007-donustur  uslup=duz-hedef
    YAZILDI (1. denemede)  shipments.ini dosyasındaki her bir bölüm için müşteri adı ile adlandırılan bir dizin olu
[9/99] gen-s-0008-donustur  uslup=duz-hedef
    YAZILDI (1. denemede)  books dizinindeki tüm .ini dosyalarının ikinci satırlarında yer alan yazar isimlerini (a
[10/99] gen-s-0009-karsilastir  uslup=terse
    YAZILDI (1. denemede)  logs1.csv ve logs2.csv dosyalarını karşılaştır. Sadece logs1.csv içinde olan satırları J
[11/99] gen-s-0010-ayikla  uslup=numarali-emir
    YAZILDI (1. denemede)  1) data_jan.txt, data_feb.txt ve data_mar.txt dosyalarındaki sabit genişlikli verileri a
[12/99] gen-s-0011-ozetle  uslup=numarali-emir
    YAZILDI (1. denemede)  1) inventory.txt dosyasındaki Item ve Quantity sütunlarını birleştirin.
[13/99] gen-s-0012-arsivle  uslup=terse
    YAZILDI (1. denemede)  vardiyalar dizinindeki JSON dosyalarını vardiyalar.tar.gz adıyla arşivleyip sıkıştır.
